plan_id,participant_id,ssn,first_name,last_name,address_1,address_2,city,state,zip,dob,hire_date,term_date,status,filler_442_448
PLN-R001,R1001,900100001,Bob,Okafor,101 Main St,,Springfield,CA,62701,1959-02-02,2006-02-15,,ACTIVE,
PLN-R001,R1002,900100002,Carol,Smith,102 Main St,,Springfield,TX,62702,1960-03-03,2007-03-15,,ACTIVE,
PLN-R001,R1003,900100003,David,Chen,103 Main St,,Springfield,NY,62703,1961-04-04,2008-04-15,,ACTIVE,
PLN-R001,R1004,900100004,Elena,Dubois,104 Main St,,Springfield,IL,62704,1962-05-05,2009-05-15,,ACTIVE,
PLN-R001,R1005,900100005,Frank,Kim,105 Main St,,Springfield,CA,62705,1963-06-06,2010-06-15,,ACTIVE,
PLN-R001,R1006,900100006,Grace,Patel,106 Main St,,Springfield,TX,62706,1964-07-07,2011-07-15,,ACTIVE,
PLN-R001,R1007,900100007,Hugo,Ng,107 Main St,,Springfield,NY,62707,1965-08-08,2012-08-15,,ACTIVE,
PLN-R001,R1008,900100008,Alice,Rivera,108 Main St,,Springfield,IL,62708,1966-09-09,2013-09-15,,ACTIVE,
PLN-R001,R1009,900100009,Bob,Okafor,109 Main St,,Springfield,CA,62709,1967-10-10,2014-10-15,2023-06-30,TERMINATED,
PLN-R001,R1010,900100010,Carol,Smith,110 Main St,,Springfield,TX,62710,1968-11-11,2015-11-15,,ACTIVE,
PLN-R001,R1011,900100011,David,Chen,111 Main St,,Springfield,NY,62711,1969-12-12,2016-12-15,,ACTIVE,
PLN-R001,R1012,900100012,Elena,Dubois,112 Main St,,Springfield,IL,62712,1970-01-13,2017-01-15,,ACTIVE,
PLN-R001,R1013,900100013,Frank,Kim,113 Main St,,Springfield,CA,62713,1971-02-14,2018-02-15,,ACTIVE,
PLN-R001,R1014,900100014,Grace,Patel,114 Main St,,Springfield,TX,62714,1972-03-15,2019-03-15,,ACTIVE,
PLN-R001,R1015,900100015,Hugo,Ng,115 Main St,,Springfield,NY,62715,1973-04-16,2005-04-15,,ACTIVE,
PLN-R001,R1016,900100016,Alice,Rivera,116 Main St,,Springfield,IL,62716,1974-05-17,2006-05-15,,ACTIVE,
PLN-R001,R1017,900100017,Bob,Okafor,117 Main St,,Springfield,CA,62717,1975-06-18,2007-06-15,,ACTIVE,
PLN-R001,R1018,900100018,Carol,Smith,118 Main St,,Springfield,TX,62718,1976-07-19,2008-07-15,2023-06-30,TERMINATED,
PLN-R001,R1019,900100019,David,Chen,119 Main St,,Springfield,NY,62719,1977-08-20,2009-08-15,,ACTIVE,
PLN-R001,R1020,900100020,Elena,Dubois,120 Main St,,Springfield,IL,62720,1978-09-21,2010-09-15,,ACTIVE,
PLN-R001,R1021,900100021,Frank,Kim,121 Main St,,Springfield,CA,62721,1979-10-22,2011-10-15,,ACTIVE,
PLN-R001,R1022,900100022,Grace,Patel,122 Main St,,Springfield,TX,62722,1980-11-23,2012-11-15,,ACTIVE,
PLN-R001,R1023,900100023,Hugo,Ng,123 Main St,,Springfield,NY,62723,1981-12-24,2013-12-15,,ACTIVE,
PLN-R001,R1024,900100024,Alice,Rivera,124 Main St,,Springfield,IL,62724,1982-01-25,2014-01-15,,ACTIVE,
PLN-R001,R1025,900100025,Bob,Okafor,125 Main St,,Springfield,CA,62725,1983-02-26,2015-02-15,,ACTIVE,
PLN-R001,R1026,900100026,Carol,Smith,126 Main St,,Springfield,TX,62726,1984-03-27,2016-03-15,,ACTIVE,
PLN-R001,R1027,900100027,David,Chen,127 Main St,,Springfield,NY,62727,1985-04-01,2017-04-15,2023-06-30,TERMINATED,
